samples	AT	TC	TT	T-
DCO_BOM_Bv6--OL_KR13_360m	0.0	100.0	0.0	0.0
DCO_BOM_Bv6--OL_KR1_609m	0.0	80.0	20.0	0.0
DCO_BOM_Bv6--OL_KR23_424m	0.0	50.0	0.0	50.0
DCO_BOM_Bv6--OL_KR29_801m	0.0	66.6666666667	33.3333333333	0.0
DCO_BOM_Bv6--OL_KR2_596m	0.0	100.0	0.0	0.0
DCO_BOM_Bv6--OL_KR3_380m	90.625	6.25	0.0	3.125
DCO_BOM_Bv6--OL_KR44_775m	100.0	0.0	0.0	0.0
DCO_BOM_Bv6--OL_KR6_422m	0.0	100.0	0.0	0.0
DCO_BOM_Bv6--OL_KR9_468m	0.0	75.0	25.0	0.0
DCO_BOM_Bv6--OL_KR9_564m	0.0	0.0	100.0	0.0
