ICM_AGW_Bv6--AGW_0001_2005_06_15,ICM_AGW_Bv6--AGW_0002_2005_06_15,ICM_AGW_Bv6--AGW_0003_2006_06_15,ICM_AGW_Bv6--AGW_0004_2006_06_15,ICM_LCY_Bv6--LCY_0001_2003_05_11,ICM_LCY_Bv6--LCY_0003_2003_05_04,ICM_LCY_Bv6--LCY_0005_2003_05_16,ICM_LCY_Bv6--LCY_0007_2003_05_04,ICM_SPO_Bv6--SPO_0001_2008_01_31,ICM_SPO_Bv6--SPO_0002_2008_01_31,ICM_SPO_Bv6--SPO_0003_2008_01_31,ICM_SPO_Bv6--SPO_0004_2008_01_31,ICM_SPO_Bv6--SPO_0005_2008_01_31
ICM_AGW_Bv6--AGW_0001_2005_06_15,0.0,0.00750122021406,0.0180911402616,0.0208584730349,0.0815673319899,0.125278819639,0.109856537814,0.075966369344,0.0794190686655,0.0744224050897,0.110749353772,0.188363081046,0.107630545846
ICM_AGW_Bv6--AGW_0002_2005_06_15,0.00750122021406,0.0,0.0148975563109,0.00437253379837,0.121326588878,0.174356717706,0.155901246721,0.0734274699406,0.0575290925885,0.0514979694349,0.0812144055051,0.192309172728,0.0827444281194
ICM_AGW_Bv6--AGW_0003_2006_06_15,0.0180911402616,0.0148975563109,0.0,0.0182190538162,0.156933048399,0.204159148744,0.183291567949,0.096275901909,0.0816748756017,0.0732258456481,0.0985352522952,0.175986120595,0.0853255164975
ICM_AGW_Bv6--AGW_0004_2006_06_15,0.0208584730349,0.00437253379837,0.0182190538162,0.0,0.155690919763,0.216026634553,0.195671478245,0.0680435053801,0.045111290599,0.0376976169917,0.0605194131042,0.194691264815,0.0672548429326
ICM_LCY_Bv6--LCY_0001_2003_05_11,0.0815673319899,0.121326588878,0.156933048399,0.155690919763,0.0,0.0143735883155,0.0201476465417,0.151984315408,0.203514546786,0.205743884768,0.257635923717,0.294257309749,0.265055966205
ICM_LCY_Bv6--LCY_0003_2003_05_04,0.125278819639,0.174356717706,0.204159148744,0.216026634553,0.0143735883155,0.0,0.00765242807273,0.223072413704,0.267566790414,0.270706927452,0.324436272973,0.334722980708,0.321011476079
ICM_LCY_Bv6--LCY_0005_2003_05_16,0.109856537814,0.155901246721,0.183291567949,0.195671478245,0.0201476465417,0.00765242807273,0.0,0.199828629012,0.242801347673,0.247050681081,0.298662094909,0.315420928317,0.29440518231
ICM_LCY_Bv6--LCY_0007_2003_05_04,0.075966369344,0.0734274699406,0.096275901909,0.0680435053801,0.151984315408,0.223072413704,0.199828629012,0.0,0.094672812064,0.0928621508366,0.114743901831,0.242261602616,0.154100620878
ICM_SPO_Bv6--SPO_0001_2008_01_31,0.0794190686655,0.0575290925885,0.0816748756017,0.045111290599,0.203514546786,0.267566790414,0.242801347673,0.094672812064,0.0,0.00322923808642,0.0073178768235,0.21425566205,0.032182039363
ICM_SPO_Bv6--SPO_0002_2008_01_31,0.0744224050897,0.0514979694349,0.0732258456481,0.0376976169917,0.205743884768,0.270706927452,0.247050681081,0.0928621508366,0.00322923808642,0.0,0.00629799445138,0.21457148871,0.029509976982
ICM_SPO_Bv6--SPO_0003_2008_01_31,0.110749353772,0.0812144055051,0.0985352522952,0.0605194131042,0.257635923717,0.324436272973,0.298662094909,0.114743901831,0.0073178768235,0.00629799445138,0.0,0.22956477489,0.0251678160014
ICM_SPO_Bv6--SPO_0004_2008_01_31,0.188363081046,0.192309172728,0.175986120595,0.194691264815,0.294257309749,0.334722980708,0.315420928317,0.242261602616,0.21425566205,0.21457148871,0.22956477489,0.0,0.135295461168
ICM_SPO_Bv6--SPO_0005_2008_01_31,0.107630545846,0.0827444281194,0.0853255164975,0.0672548429326,0.265055966205,0.321011476079,0.29440518231,0.154100620878,0.032182039363,0.029509976982,0.0251678160014,0.135295461168,0.0
